tradeid,fundid,assetid,tradedate,tradetype,quantity,tradeprice,grossvalue,signed_gross_value
TRD000065,F005,A002,2025-07-25,Buy,235,152.27,35783.45,35783.45
TRD000066,F003,A020,2026-03-18,Buy,65,145.86,9480.9,9480.9
TRD000067,F002,A019,2025-02-05,Buy,376,307.75,115714.0,115714.0
TRD000068,F005,A005,2025-06-02,Buy,19,142.13,2700.47,2700.47
TRD000069,F001,A001,2025-06-05,Sell,350,271.79,95126.5,-95126.5
TRD000070,F007,A009,2026-05-18,Buy,273,103.11,28149.03,28149.03
TRD000071,F007,A009,2026-01-29,Sell,286,89.08,25476.88,-25476.88
TRD000072,F008,A016,2026-01-03,Buy,300,192.14,57642.0,57642.0
TRD000073,F005,A005,2025-04-03,Buy,38,132.06,5018.28,5018.28
TRD000074,F006,A001,2025-10-24,Buy,440,277.62,122152.8,122152.8
TRD000075,F003,A001,2025-11-03,Buy,206,294.57,60681.42,60681.42
TRD000076,F002,A018,2025-03-28,Sell,362,102.12,36967.44,-36967.44
TRD000077,F008,A019,2025-07-17,Buy,107,295.91,31662.37,31662.37
TRD000078,F004,A020,2026-07-08,Buy,209,141.9,29657.1,29657.1
TRD000079,F008,A019,2025-01-17,Buy,437,362.77,158530.49,158530.49
TRD000080,F001,A003,2026-02-20,Buy,413,433.83,179171.79,179171.79
TRD000081,F008,A019,2025-06-02,Sell,455,368.99,167890.45,-167890.45
TRD000082,F004,A018,2026-05-16,Buy,28,114.15,3196.2,3196.2
TRD000083,F008,A019,2025-05-14,Buy,33,306.13,10102.29,10102.29
TRD000084,F001,A003,2026-04-13,Buy,430,442.7,190361.0,190361.0
TRD000085,F002,A017,2025-08-14,Buy,68,177.24,12052.32,12052.32
TRD000086,F004,A020,2026-02-16,Buy,182,178.57,32499.74,32499.74
TRD000087,F003,A016,2025-08-07,Sell,438,216.64,94888.32,-94888.32
TRD000088,F003,A016,2025-05-25,Sell,42,168.5,7077.0,-7077.0
TRD000089,F003,A016,2025-09-07,Sell,293,171.02,50108.86,-50108.86
TRD000090,F001,A002,2026-01-21,Sell,61,190.13,11597.93,-11597.93
TRD000091,F001,A004,2025-07-03,Sell,51,151.94,7748.94,-7748.94
TRD000092,F005,A005,2026-05-03,Buy,365,138.73,50636.45,50636.45
TRD000093,F004,A018,2026-04-07,Buy,337,99.29,33460.73,33460.73
TRD000094,F003,A001,2026-05-27,Buy,315,254.04,80022.6,80022.6
TRD000095,F002,A018,2025-12-23,Buy,433,115.66,50080.78,50080.78
TRD000096,F004,A018,2025-04-08,Buy,70,122.18,8552.6,8552.6
TRD000097,F004,A020,2025-08-02,Buy,404,169.51,68482.04,68482.04
TRD000098,F004,A018,2026-05-01,Buy,417,95.4,39781.8,39781.8
TRD000099,F003,A001,2025-10-19,Buy,37,293.23,10849.51,10849.51
TRD000100,F005,A003,2026-04-10,Buy,325,444.1,144332.5,144332.5
TRD000101,F001,A007,2025-01-30,Buy,100,159.43,15943.0,15943.0
TRD000102,F002,A017,2026-04-01,Buy,468,163.3,76424.4,76424.4
TRD000103,F006,A018,2025-11-30,Buy,111,114.52,12711.72,12711.72
TRD000104,F002,A019,2026-02-27,Sell,126,291.74,36759.24,-36759.24
TRD000105,F007,A010,2026-05-12,Buy,47,108.78,5112.66,5112.66
TRD000106,F007,A010,2026-04-11,Buy,120,123.82,14858.4,14858.4
TRD000107,F006,A013,2026-01-03,Sell,244,318.91,77814.04,-77814.04
TRD000108,F004,A020,2026-08-06,Buy,75,140.39,10529.25,10529.25
TRD000109,F003,A005,2026-03-05,Buy,446,125.71,56066.66,56066.66
TRD000110,F006,A013,2025-06-10,Sell,463,280.79,130005.77,-130005.77
TRD000111,F003,A013,2026-06-19,Buy,54,291.25,15727.5,15727.5
TRD000112,F004,A020,2025-01-15,Sell,438,161.49,70732.62,-70732.62
TRD000113,F004,A018,2025-08-16,Sell,177,104.52,18500.04,-18500.04
TRD000114,F003,A001,2025-02-11,Sell,223,321.5,71694.5,-71694.5
TRD000115,F001,A004,2025-04-11,Buy,281,172.7,48528.7,48528.7
TRD000116,F004,A018,2026-02-21,Sell,295,114.71,33839.45,-33839.45
TRD000117,F003,A016,2025-04-03,Buy,161,175.25,28215.25,28215.25
TRD000118,F005,A002,2026-08-08,Sell,370,172.72,63906.4,-63906.4
TRD000119,F001,A004,2026-02-20,Buy,247,192.89,47643.83,47643.83
TRD000120,F006,A018,2025-03-14,Buy,370,110.89,41029.3,41029.3
TRD000121,F006,A020,2025-10-04,Buy,26,153.34,3986.84,3986.84
TRD000122,F004,A018,2025-02-26,Buy,327,118.8,38847.6,38847.6
TRD000123,F006,A001,2026-04-22,Buy,66,271.15,17895.9,17895.9
TRD000124,F006,A016,2025-03-10,Buy,99,198.58,19659.42,19659.42
TRD000125,F004,A018,2025-04-27,Buy,181,98.26,17785.06,17785.06
TRD000126,F004,A018,2025-10-01,Buy,174,101.91,17732.34,17732.34
TRD000127,F007,A011,2025-12-20,Buy,37,138.56,5126.72,5126.72
TRD000128,F002,A019,2026-06-30,Sell,373,334.92,124925.16,-124925.16
TRD000129,F008,A019,2025-03-09,Buy,198,361.59,71594.82,71594.82
TRD000130,F008,A016,2025-07-03,Buy,51,183.89,9378.39,9378.39
TRD000131,F002,A017,2025-06-01,Buy,94,165.47,15554.18,15554.18
TRD000132,F004,A018,2026-07-09,Sell,160,103.95,16632.0,-16632.0
TRD000133,F008,A017,2025-01-22,Buy,225,174.4,39240.0,39240.0
TRD000134,F002,A017,2026-06-17,Buy,456,193.46,88217.76,88217.76
TRD000135,F007,A011,2025-12-01,Buy,345,166.44,57421.8,57421.8
TRD000136,F008,A017,2025-11-10,Buy,165,180.97,29860.05,29860.05
TRD000137,F005,A002,2025-10-23,Sell,257,168.14,43211.98,-43211.98
TRD000138,F001,A002,2025-06-20,Buy,190,163.55,31074.5,31074.5
TRD000139,F003,A015,2025-06-07,Buy,103,151.46,15600.38,15600.38
TRD000140,F002,A017,2026-03-28,Buy,172,181.36,31193.92,31193.92
TRD000141,F003,A013,2025-11-21,Sell,297,317.77,94377.69,-94377.69
TRD000142,F003,A016,2025-06-16,Buy,239,192.4,45983.6,45983.6
TRD000143,F002,A017,2025-05-29,Sell,217,200.33,43471.61,-43471.61
TRD000144,F006,A013,2026-07-14,Sell,12,341.38,4096.56,-4096.56
TRD000145,F006,A016,2026-08-11,Buy,252,212.72,53605.44,53605.44
TRD000146,F008,A017,2026-05-06,Sell,362,156.76,56747.12,-56747.12
TRD000147,F003,A005,2025-08-14,Buy,167,108.91,18187.97,18187.97
TRD000148,F002,A019,2025-07-19,Buy,38,342.5,13015.0,13015.0
TRD000149,F004,A020,2026-07-06,Sell,110,139.92,15391.2,-15391.2
TRD000150,F002,A018,2025-11-22,Buy,211,96.85,20435.35,20435.35
TRD000151,F001,A008,2026-03-14,Buy,194,219.49,42581.06,42581.06
TRD000152,F006,A001,2025-11-12,Sell,155,267.95,41532.25,-41532.25
TRD000153,F002,A017,2026-03-02,Sell,382,198.03,75647.46,-75647.46
TRD000154,F005,A002,2026-03-11,Sell,422,186.82,78838.04,-78838.04
TRD000155,F007,A010,2025-03-30,Buy,437,112.6,49206.2,49206.2
TRD000156,F005,A005,2025-12-10,Buy,454,127.98,58102.92,58102.92
TRD000157,F007,A009,2025-10-07,Buy,13,94.42,1227.46,1227.46
TRD000158,F008,A019,2025-05-21,Buy,300,357.14,107142.0,107142.0
TRD000159,F007,A011,2025-11-06,Sell,293,159.0,46587.0,-46587.0
TRD000160,F005,A005,2025-08-18,Buy,296,136.16,40303.36,40303.36
TRD000161,F001,A002,2026-04-29,Buy,144,164.38,23670.72,23670.72
TRD000162,F005,A005,2025-09-08,Buy,101,126.71,12797.71,12797.71
TRD000163,F005,A005,2026-01-06,Buy,44,130.79,5754.76,5754.76
TRD000164,F007,A011,2025-05-03,Buy,331,168.34,55720.54,55720.54
TRD000165,F001,A003,2025-05-30,Buy,93,416.82,38764.26,38764.26
TRD000166,F003,A016,2026-01-05,Buy,93,164.63,15310.59,15310.59
TRD000167,F006,A001,2025-03-20,Buy,158,263.46,41626.68,41626.68
TRD000168,F003,A005,2026-07-11,Buy,316,136.65,43181.4,43181.4
TRD000169,F006,A016,2026-01-07,Buy,148,200.71,29705.08,29705.08
TRD000170,F006,A013,2025-10-16,Buy,16,266.59,4265.44,4265.44
TRD000171,F008,A017,2025-06-16,Buy,184,199.79,36761.36,36761.36
TRD000172,F003,A013,2026-07-27,Buy,435,271.21,117976.35,117976.35
TRD000173,F002,A019,2025-04-30,Sell,245,373.14,91419.3,-91419.3
TRD000174,F001,A004,2026-01-07,Buy,188,168.27,31634.76,31634.76
TRD000175,F008,A019,2025-12-17,Buy,277,357.97,99157.69,99157.69
TRD000176,F005,A001,2025-08-16,Buy,391,307.54,120248.14,120248.14
TRD000177,F003,A013,2025-05-14,Sell,167,265.55,44346.85,-44346.85
TRD000178,F007,A009,2026-05-11,Sell,49,83.05,4069.45,-4069.45
TRD000179,F001,A002,2026-06-10,Buy,65,150.35,9772.75,9772.75
TRD000180,F008,A016,2025-03-09,Buy,475,176.04,83619.0,83619.0
TRD000181,F001,A001,2025-07-30,Buy,410,249.3,102213.0,102213.0
TRD000182,F004,A018,2025-04-03,Buy,353,101.87,35960.11,35960.11
TRD000183,F005,A006,2026-05-28,Sell,188,153.54,28865.52,-28865.52
TRD000184,F004,A018,2025-01-15,Buy,60,116.84,7010.4,7010.4
TRD000185,F004,A020,2026-07-05,Buy,97,182.99,17750.03,17750.03
TRD000186,F002,A017,2026-05-02,Buy,481,177.61,85430.41,85430.41
TRD000187,F003,A020,2025-07-05,Sell,354,185.74,65751.96,-65751.96
TRD000188,F007,A012,2026-02-22,Buy,119,56.34,6704.46,6704.46
TRD000189,F006,A001,2025-05-20,Buy,248,248.17,61546.16,61546.16
TRD000190,F006,A016,2025-03-26,Buy,295,202.8,59826.0,59826.0
TRD000191,F002,A019,2025-11-16,Buy,155,327.46,50756.3,50756.3
TRD000192,F008,A016,2026-03-15,Buy,293,184.84,54158.12,54158.12
TRD000193,F002,A019,2025-07-03,Buy,490,349.57,171289.3,171289.3
TRD000194,F008,A019,2026-06-20,Buy,63,321.43,20250.09,20250.09
TRD000195,F002,A017,2025-04-15,Sell,83,171.79,14258.57,-14258.57
TRD000196,F003,A005,2025-12-13,Buy,196,145.13,28445.48,28445.48
TRD000197,F007,A009,2026-05-27,Buy,129,106.91,13791.39,13791.39
TRD000198,F005,A014,2026-05-03,Buy,492,247.97,122001.24,122001.24
TRD000199,F007,A012,2026-04-11,Buy,271,52.38,14194.98,14194.98
TRD000200,F005,A005,2025-05-18,Buy,264,116.76,30824.64,30824.64
TRD000201,F001,A001,2025-07-03,Buy,265,296.04,78450.6,78450.6
TRD000202,F006,A013,2025-04-09,Sell,165,310.13,51171.45,-51171.45
TRD000203,F008,A017,2026-05-25,Buy,113,166.4,18803.2,18803.2
TRD000204,F005,A006,2026-07-08,Buy,185,175.58,32482.3,32482.3
TRD000205,F001,A004,2026-01-28,Buy,460,200.55,92253.0,92253.0
TRD000206,F007,A012,2025-07-01,Buy,245,48.29,11831.05,11831.05
TRD000207,F005,A014,2025-05-18,Buy,94,254.97,23967.18,23967.18
TRD000208,F007,A012,2026-05-18,Buy,401,49.53,19861.53,19861.53
TRD000209,F008,A017,2026-06-03,Buy,297,196.25,58286.25,58286.25
TRD000210,F005,A005,2025-12-28,Sell,312,144.96,45227.52,-45227.52
TRD000211,F005,A003,2025-02-16,Buy,41,349.26,14319.66,14319.66
TRD000212,F006,A016,2025-01-28,Sell,424,203.94,86470.56,-86470.56
TRD000213,F006,A018,2026-01-01,Buy,59,104.32,6154.88,6154.88
TRD000214,F001,A008,2025-11-16,Buy,135,209.3,28255.5,28255.5
TRD000215,F002,A019,2025-01-21,Buy,68,315.58,21459.44,21459.44
TRD000216,F001,A004,2026-08-05,Buy,346,197.79,68435.34,68435.34
TRD000217,F007,A011,2025-01-23,Sell,20,168.82,3376.4,-3376.4
TRD000218,F007,A012,2026-05-16,Buy,175,57.32,10031.0,10031.0
TRD000219,F004,A020,2025-12-14,Buy,264,163.45,43150.8,43150.8
TRD000220,F005,A003,2025-03-19,Sell,233,370.45,86314.85,-86314.85
TRD000221,F004,A020,2026-08-11,Buy,145,141.14,20465.3,20465.3
TRD000222,F004,A018,2025-04-08,Buy,377,117.63,44346.51,44346.51
TRD000223,F005,A001,2026-05-02,Buy,300,306.41,91923.0,91923.0
TRD000224,F006,A001,2026-06-01,Sell,343,308.31,105750.33,-105750.33
TRD000225,F007,A011,2025-09-15,Buy,112,155.35,17399.2,17399.2
TRD000226,F008,A019,2025-01-20,Buy,400,336.47,134588.0,134588.0
TRD000227,F003,A020,2026-04-24,Buy,119,171.19,20371.61,20371.61
TRD000228,F007,A009,2026-04-19,Buy,277,88.34,24470.18,24470.18
TRD000229,F003,A015,2025-11-23,Sell,442,130.06,57486.52,-57486.52
TRD000230,F002,A018,2025-10-01,Sell,114,117.69,13416.66,-13416.66
TRD000231,F003,A015,2026-02-20,Buy,361,136.66,49334.26,49334.26
TRD000232,F003,A013,2025-11-14,Buy,24,276.35,6632.4,6632.4
TRD000233,F007,A012,2025-07-26,Buy,341,62.93,21459.13,21459.13
TRD000234,F003,A001,2025-10-12,Buy,142,305.44,43372.48,43372.48
TRD000235,F003,A001,2025-01-21,Buy,379,279.83,106055.57,106055.57
TRD000236,F002,A019,2025-03-07,Sell,318,311.63,99098.34,-99098.34
TRD000237,F007,A011,2025-04-03,Buy,353,166.98,58943.94,58943.94
TRD000238,F003,A013,2026-05-28,Sell,67,305.55,20471.85,-20471.85
TRD000239,F005,A005,2025-05-06,Sell,462,111.41,51471.42,-51471.42
TRD000240,F006,A016,2026-02-04,Sell,436,194.94,84993.84,-84993.84
TRD000241,F004,A020,2025-06-29,Buy,121,145.88,17651.48,17651.48
TRD000242,F005,A005,2025-02-27,Buy,219,117.66,25767.54,25767.54
TRD000243,F006,A001,2026-05-02,Buy,172,284.88,48999.36,48999.36
TRD000244,F005,A002,2026-01-12,Sell,195,173.56,33844.2,-33844.2
TRD000245,F001,A008,2025-02-25,Buy,473,233.64,110511.72,110511.72
TRD000246,F004,A020,2026-01-07,Sell,292,157.66,46036.72,-46036.72
TRD000247,F002,A018,2026-03-30,Buy,453,98.19,44480.07,44480.07
TRD000248,F007,A011,2025-08-30,Buy,164,139.85,22935.4,22935.4
TRD000249,F003,A020,2026-02-21,Sell,333,154.35,51398.55,-51398.55
TRD000250,F005,A001,2026-05-19,Buy,431,304.58,131273.98,131273.98
TRD000251,F007,A011,2025-04-13,Sell,377,155.74,58713.98,-58713.98
TRD000252,F005,A006,2026-07-15,Sell,43,153.52,6601.36,-6601.36
TRD000253,F008,A019,2025-07-08,Buy,24,357.81,8587.44,8587.44
TRD000254,F003,A001,2025-11-09,Buy,215,255.73,54981.95,54981.95
TRD000255,F002,A017,2025-05-14,Sell,90,164.06,14765.4,-14765.4
TRD000256,F007,A011,2025-05-17,Buy,241,158.42,38179.22,38179.22
TRD000257,F006,A016,2026-01-12,Buy,111,166.42,18472.62,18472.62
TRD000258,F007,A010,2026-07-26,Buy,20,124.48,2489.6,2489.6
TRD000259,F004,A018,2025-06-22,Buy,246,96.97,23854.62,23854.62
TRD000260,F007,A011,2026-01-12,Buy,86,139.79,12021.94,12021.94
TRD000261,F002,A017,2026-04-10,Sell,377,178.77,67396.29,-67396.29
TRD000262,F008,A016,2025-07-15,Sell,124,202.31,25086.44,-25086.44
TRD000263,F005,A003,2025-05-14,Buy,392,406.14,159206.88,159206.88
TRD000264,F004,A018,2025-07-13,Buy,431,99.68,42962.08,42962.08
TRD000265,F007,A010,2025-09-26,Buy,24,102.82,2467.68,2467.68
TRD000266,F008,A016,2026-04-15,Buy,199,194.86,38777.14,38777.14
TRD000267,F008,A016,2026-02-12,Buy,456,180.05,82102.8,82102.8
TRD000268,F007,A012,2025-03-16,Buy,386,57.74,22287.64,22287.64
TRD000269,F001,A001,2026-04-28,Sell,180,317.36,57124.8,-57124.8
TRD000270,F001,A001,2026-01-26,Buy,139,281.4,39114.6,39114.6
TRD000271,F007,A011,2026-07-27,Buy,77,181.84,14001.68,14001.68
TRD000272,F003,A015,2025-12-14,Sell,96,132.78,12746.88,-12746.88
TRD000273,F003,A005,2026-03-20,Buy,172,135.03,23225.16,23225.16
TRD000274,F002,A019,2026-05-27,Sell,32,379.36,12139.52,-12139.52
TRD000275,F005,A014,2025-10-17,Sell,194,288.31,55932.14,-55932.14
TRD000276,F005,A006,2025-09-28,Buy,434,173.27,75199.18,75199.18
TRD000277,F007,A010,2026-05-19,Sell,171,117.53,20097.63,-20097.63
TRD000278,F003,A020,2025-02-25,Buy,37,148.07,5478.59,5478.59
TRD000279,F001,A004,2026-04-24,Buy,143,160.35,22930.05,22930.05
TRD000280,F008,A016,2026-07-29,Buy,236,181.95,42940.2,42940.2
TRD000281,F008,A016,2025-06-01,Buy,443,202.67,89782.81,89782.81
TRD000282,F002,A017,2025-06-22,Sell,454,165.9,75318.6,-75318.6
TRD000283,F005,A006,2025-08-06,Buy,466,168.52,78530.32,78530.32
TRD000284,F001,A007,2026-03-03,Sell,402,181.43,72934.86,-72934.86
TRD000285,F004,A020,2025-12-03,Buy,356,143.43,51061.08,51061.08
TRD000286,F002,A019,2025-04-19,Sell,201,340.73,68486.73,-68486.73
TRD000287,F003,A001,2026-05-07,Buy,51,277.67,14161.17,14161.17
TRD000288,F005,A006,2025-02-14,Buy,346,136.84,47346.64,47346.64
TRD000289,F008,A017,2026-08-06,Buy,495,189.71,93906.45,93906.45
TRD000290,F001,A008,2025-02-26,Sell,154,214.44,33023.76,-33023.76
TRD000291,F007,A009,2025-09-03,Sell,214,89.93,19245.02,-19245.02
TRD000292,F007,A009,2025-06-16,Buy,20,107.32,2146.4,2146.4
TRD000293,F007,A011,2025-06-07,Buy,341,171.53,58491.73,58491.73
TRD000294,F008,A017,2025-11-14,Sell,386,193.69,74764.34,-74764.34
TRD000295,F003,A016,2026-01-12,Buy,350,167.09,58481.5,58481.5
TRD000296,F008,A017,2025-10-02,Buy,463,171.43,79372.09,79372.09
TRD000297,F007,A009,2026-01-13,Buy,397,94.8,37635.6,37635.6
TRD000298,F007,A012,2025-12-16,Sell,57,48.37,2757.09,-2757.09
TRD000299,F004,A018,2026-06-22,Buy,486,106.47,51744.42,51744.42
TRD000300,F008,A017,2026-05-05,Buy,50,199.06,9953.0,9953.0
TRD000301,F003,A015,2026-03-14,Buy,440,122.63,53957.2,53957.2
TRD000302,F001,A007,2026-06-10,Buy,49,199.9,9795.1,9795.1
TRD000303,F007,A012,2026-08-06,Sell,58,55.51,3219.58,-3219.58
TRD000304,F006,A016,2026-05-31,Buy,309,166.27,51377.43,51377.43
TRD000305,F008,A016,2026-02-07,Buy,412,172.0,70864.0,70864.0
TRD000306,F007,A011,2026-04-11,Sell,170,163.62,27815.4,-27815.4
TRD000307,F008,A019,2025-07-11,Buy,423,308.36,130436.28,130436.28
TRD000308,F002,A018,2025-04-19,Buy,319,98.92,31555.48,31555.48
TRD000309,F001,A001,2025-06-25,Buy,212,248.7,52724.4,52724.4
TRD000310,F008,A019,2026-05-14,Buy,217,368.44,79951.48,79951.48
TRD000311,F006,A018,2025-05-09,Buy,421,100.31,42230.51,42230.51
TRD000312,F004,A018,2025-07-12,Sell,427,91.14,38916.78,-38916.78
TRD000313,F004,A020,2025-09-05,Buy,342,145.93,49908.06,49908.06
TRD000314,F004,A018,2025-06-01,Buy,164,115.25,18901.0,18901.0
TRD000315,F001,A001,2026-04-01,Sell,95,314.95,29920.25,-29920.25
TRD000316,F008,A016,2025-09-06,Buy,450,187.25,84262.5,84262.5
TRD000317,F007,A009,2026-03-19,Sell,180,82.73,14891.4,-14891.4
TRD000318,F008,A019,2026-07-22,Sell,306,341.28,104431.68,-104431.68
TRD000319,F001,A004,2026-05-15,Buy,214,177.61,38008.54,38008.54
TRD000320,F001,A007,2025-11-20,Buy,19,173.5,3296.5,3296.5
TRD000321,F005,A014,2025-04-30,Buy,223,285.46,63657.58,63657.58
TRD000322,F006,A018,2025-06-15,Buy,367,104.58,38380.86,38380.86
TRD000323,F004,A020,2026-06-04,Buy,186,160.28,29812.08,29812.08
TRD000324,F006,A020,2026-04-25,Buy,446,180.09,80320.14,80320.14
TRD000325,F005,A014,2026-03-03,Sell,374,247.21,92456.54,-92456.54
TRD000326,F006,A018,2025-06-15,Buy,419,121.68,50983.92,50983.92
TRD000327,F005,A014,2026-05-10,Buy,393,223.89,87988.77,87988.77
TRD000328,F004,A018,2026-03-02,Sell,320,106.37,34038.4,-34038.4
TRD000329,F008,A017,2025-02-18,Sell,130,161.93,21050.9,-21050.9
TRD000330,F006,A016,2025-06-28,Sell,192,200.22,38442.24,-38442.24
TRD000331,F001,A001,2025-08-21,Buy,182,275.17,50080.94,50080.94
TRD000332,F004,A020,2025-12-30,Sell,142,187.5,26625.0,-26625.0
TRD000333,F005,A002,2026-06-12,Buy,446,184.83,82434.18,82434.18
TRD000334,F002,A018,2026-03-25,Sell,35,120.27,4209.45,-4209.45
TRD000335,F002,A017,2025-04-15,Sell,410,183.27,75140.7,-75140.7
TRD000336,F001,A007,2025-05-01,Sell,63,159.91,10074.33,-10074.33
TRD000337,F006,A013,2026-03-29,Sell,382,280.52,107158.64,-107158.64
TRD000338,F008,A019,2026-01-08,Buy,455,291.86,132796.3,132796.3
TRD000339,F003,A005,2026-03-02,Sell,444,115.66,51353.04,-51353.04
TRD000340,F001,A002,2025-12-16,Buy,437,191.08,83501.96,83501.96
TRD000341,F003,A005,2026-03-01,Buy,146,122.16,17835.36,17835.36
TRD000342,F004,A018,2026-03-08,Sell,395,114.73,45318.35,-45318.35
TRD000343,F003,A018,2026-04-15,Sell,221,119.99,26517.79,-26517.79
TRD000344,F006,A001,2025-01-11,Sell,236,251.14,59269.04,-59269.04
TRD000345,F002,A017,2025-06-18,Buy,183,167.53,30657.99,30657.99
TRD000346,F007,A009,2025-06-04,Sell,348,109.36,38057.28,-38057.28
TRD000347,F001,A008,2026-06-17,Sell,375,246.77,92538.75,-92538.75
TRD000348,F007,A012,2026-07-21,Sell,463,59.14,27381.82,-27381.82
TRD000349,F006,A016,2026-06-25,Buy,14,208.78,2922.92,2922.92
TRD000350,F003,A018,2026-07-12,Buy,238,111.22,26470.36,26470.36
TRD000351,F008,A019,2026-02-19,Sell,186,370.32,68879.52,-68879.52
TRD000352,F005,A001,2026-02-04,Sell,28,284.18,7957.04,-7957.04
TRD000353,F003,A015,2026-07-20,Buy,119,116.43,13855.17,13855.17
