transactionid,investorid,fundid,transactiondate,transactiontype,amount,currency
ITX000132,INV0066,F002,2026-06-28,Subscription,8822.57,EUR
ITX000133,INV0045,F006,2025-06-01,Subscription,45343.18,EUR
ITX000134,INV0026,F003,2025-06-06,Subscription,7748.99,EUR
ITX000135,INV0023,F008,2026-04-21,Subscription,32947.7,EUR
ITX000136,INV0058,F006,2025-11-20,Subscription,38113.92,EUR
ITX000137,INV0057,F005,2025-10-09,Subscription,3880.17,EUR
ITX000138,INV0010,F005,2026-04-18,Subscription,17921.14,EUR
ITX000139,INV0037,F002,2025-04-03,Subscription,3316.06,EUR
ITX000140,INV0060,F001,2026-04-06,Subscription,25599.86,EUR
ITX000141,INV0025,F006,2026-05-03,Redemption,-28797.01,EUR
ITX000142,INV0058,F002,2025-12-18,Subscription,47907.26,EUR
ITX000143,INV0083,F003,2025-02-10,Redemption,-4674.29,EUR
ITX000144,INV0057,F003,2026-01-08,Subscription,22169.03,EUR
ITX000145,INV0053,F006,2025-02-23,Subscription,14503.23,EUR
ITX000146,INV0009,F006,2025-04-07,Subscription,32541.62,EUR
ITX000147,INV0033,F003,2025-12-08,Subscription,19634.93,EUR
ITX000148,INV0045,F005,2026-02-06,Subscription,33348.8,EUR
ITX000149,INV0011,F005,2026-07-27,Subscription,35587.28,EUR
ITX000150,INV0017,F002,2026-03-10,Subscription,39687.27,EUR
ITX000151,INV0040,F003,2025-08-08,Subscription,1402.41,EUR
ITX000152,INV0025,F004,2025-05-21,Subscription,38424.73,EUR
ITX000153,INV0013,F001,2025-12-11,Subscription,15141.71,EUR
ITX000154,INV0077,F007,2025-06-07,Redemption,-31092.56,EUR
ITX000155,INV0099,F003,2026-03-25,Subscription,41651.58,EUR
ITX000156,INV0093,F004,2026-03-31,Subscription,18532.82,EUR
ITX000157,INV0058,F004,2026-07-01,Subscription,37743.36,EUR
ITX000158,INV0061,F004,2026-01-12,Subscription,48297.03,EUR
ITX000159,INV0057,F008,2025-10-16,Subscription,28735.76,EUR
ITX000160,INV0054,F003,2025-07-24,Subscription,25393.88,EUR
ITX000161,INV0033,F001,2026-05-08,Subscription,7350.73,EUR
ITX000162,INV0014,F002,2025-10-19,Redemption,-27949.77,EUR
ITX000163,INV0058,F003,2026-03-24,Subscription,8435.46,EUR
ITX000164,INV0058,F006,2025-01-28,Subscription,45570.0,EUR
ITX000165,INV0048,F004,2026-01-31,Subscription,20124.47,EUR
ITX000166,INV0004,F006,2025-04-12,Redemption,-19058.18,EUR
ITX000167,INV0019,F003,2025-02-09,Redemption,-32673.05,EUR
ITX000168,INV0090,F003,2026-04-26,Subscription,41573.2,EUR
ITX000169,INV0011,F001,2025-09-20,Subscription,759.93,EUR
ITX000170,INV0094,F007,2025-04-24,Subscription,7901.22,EUR
ITX000171,INV0016,F001,2025-09-02,Subscription,12263.19,EUR
ITX000172,INV0059,F002,2025-04-24,Subscription,39798.01,EUR
ITX000173,INV0069,F001,2026-06-12,Redemption,-25241.55,EUR
ITX000174,INV0038,F007,2025-01-02,Subscription,36067.94,EUR
ITX000175,INV0054,F003,2025-03-29,Subscription,12407.93,EUR
ITX000176,INV0068,F001,2026-02-04,Subscription,18349.89,EUR
ITX000177,INV0050,F006,2025-09-17,Redemption,-2654.95,EUR
ITX000178,INV0009,F006,2025-09-04,Subscription,18176.15,EUR
ITX000179,INV0099,F006,2025-05-17,Subscription,31598.72,EUR
ITX000180,INV0083,F003,2026-04-21,Subscription,27527.68,EUR
ITX000181,INV0024,F003,2025-03-06,Redemption,-24187.29,EUR
ITX000182,INV0005,F005,2025-07-26,Subscription,47208.45,EUR
ITX000183,INV0006,F006,2025-11-14,Subscription,10373.76,EUR
ITX000184,INV0070,F008,2025-09-17,Subscription,49461.57,EUR
ITX000185,INV0037,F006,2025-02-18,Subscription,32521.57,EUR
ITX000186,INV0016,F006,2026-03-24,Redemption,-16930.27,EUR
ITX000187,INV0050,F006,2025-07-11,Redemption,-37293.73,EUR
ITX000188,INV0067,F005,2025-03-26,Subscription,25127.41,EUR
ITX000189,INV0078,F003,2026-07-13,Subscription,4406.89,EUR
ITX000190,INV0042,F005,2025-11-10,Subscription,5578.6,EUR
ITX000191,INV0022,F008,2025-12-26,Subscription,36024.31,EUR
ITX000192,INV0046,F007,2025-10-09,Subscription,36477.31,EUR
ITX000193,INV0008,F002,2026-02-20,Subscription,39678.15,EUR
ITX000194,INV0087,F003,2025-02-01,Subscription,40154.25,EUR
ITX000195,INV0057,F001,2025-05-10,Subscription,30574.86,EUR
ITX000196,INV0047,F006,2026-01-28,Subscription,39036.51,EUR
ITX000197,INV0020,F008,2026-01-15,Redemption,-2103.07,EUR
ITX000198,INV0074,F003,2026-06-27,Subscription,38272.68,EUR
ITX000199,INV0036,F004,2025-04-27,Subscription,16062.08,EUR
ITX000200,INV0067,F007,2026-07-30,Subscription,9709.38,EUR
ITX000201,INV0091,F008,2025-08-08,Subscription,38860.74,EUR
ITX000202,INV0063,F004,2025-05-06,Redemption,-14636.06,EUR
ITX000203,INV0023,F008,2025-03-31,Subscription,4165.58,EUR
ITX000204,INV0041,F006,2025-03-08,Subscription,48394.28,EUR
ITX000205,INV0039,F003,2025-06-28,Subscription,14872.93,EUR
ITX000206,INV0016,F004,2025-05-23,Subscription,25683.41,EUR
ITX000207,INV0047,F006,2026-04-24,Subscription,24954.09,EUR
ITX000208,INV0079,F002,2025-03-09,Subscription,27806.52,EUR
ITX000209,INV0093,F008,2026-06-23,Subscription,49979.95,EUR
ITX000210,INV0074,F002,2025-05-09,Subscription,20766.96,EUR
ITX000211,INV0058,F008,2026-06-14,Redemption,-32295.76,EUR
ITX000212,INV0100,F003,2025-05-13,Subscription,43959.03,EUR
ITX000213,INV0008,F002,2026-06-15,Subscription,45580.26,EUR
ITX000214,INV0042,F004,2025-12-21,Subscription,8650.53,EUR
ITX000215,INV0037,F002,2025-09-14,Redemption,-26185.44,EUR
ITX000216,INV0036,F003,2025-11-07,Subscription,47839.41,EUR
ITX000217,INV0083,F003,2026-08-18,Subscription,5124.71,EUR
ITX000218,INV0093,F006,2026-08-01,Subscription,33107.28,EUR
ITX000219,INV0011,F001,2026-08-14,Subscription,43257.17,EUR
ITX000220,INV0074,F007,2025-02-01,Subscription,10935.01,EUR
ITX000221,INV0038,F005,2026-05-10,Subscription,31544.62,EUR
ITX000222,INV0052,F005,2026-04-10,Subscription,40463.79,EUR
ITX000223,INV0057,F007,2026-05-11,Subscription,3465.7,EUR
ITX000224,INV0019,F006,2025-11-23,Subscription,17339.53,EUR
ITX000225,INV0052,F003,2026-01-15,Subscription,43108.48,EUR
ITX000226,INV0031,F008,2025-05-06,Subscription,5756.1,EUR
ITX000227,INV0013,F001,2025-10-25,Subscription,12771.98,EUR
ITX000228,INV0054,F004,2025-06-13,Redemption,-43276.11,EUR
ITX000229,INV0093,F006,2025-07-14,Subscription,46720.7,EUR
ITX000230,INV0066,F008,2026-05-26,Subscription,25164.14,EUR
ITX000231,INV0012,F007,2026-06-02,Redemption,-25119.83,EUR
ITX000232,INV0075,F006,2025-02-19,Subscription,12416.07,EUR
ITX000233,INV0084,F008,2025-10-20,Subscription,24997.26,EUR
ITX000234,INV0056,F003,2025-09-28,Subscription,42435.03,EUR
ITX000235,INV0047,F001,2026-02-15,Subscription,38310.91,EUR
ITX000236,INV0047,F005,2025-03-17,Subscription,28309.93,EUR
ITX000237,INV0071,F005,2025-05-02,Subscription,22792.54,EUR
ITX000238,INV0048,F006,2026-07-26,Subscription,5285.73,EUR
ITX000239,INV0026,F007,2026-05-28,Redemption,-37870.78,EUR
ITX000240,INV0092,F006,2026-05-01,Subscription,2426.24,EUR
ITX000241,INV0066,F003,2025-12-02,Subscription,7872.56,EUR
ITX000242,INV0051,F005,2025-12-11,Redemption,-16267.24,EUR
ITX000243,INV0063,F005,2026-05-02,Subscription,25730.85,EUR
ITX000244,INV0087,F002,2026-03-03,Subscription,18733.71,EUR
ITX000245,INV0093,F001,2026-05-01,Subscription,39939.36,EUR
ITX000246,INV0100,F004,2025-02-22,Subscription,32951.75,EUR
ITX000247,INV0081,F007,2025-06-01,Subscription,8940.35,EUR
ITX000248,INV0074,F002,2025-07-15,Redemption,-12488.73,EUR
ITX000249,INV0020,F007,2025-07-28,Subscription,16027.78,EUR
ITX000250,INV0061,F001,2025-05-22,Subscription,38861.13,EUR
ITX000251,INV0085,F008,2026-06-23,Subscription,28263.9,EUR
ITX000252,INV0059,F006,2026-07-14,Subscription,47855.93,EUR
ITX000253,INV0093,F005,2026-05-11,Subscription,38713.49,EUR
ITX000254,INV0072,F005,2025-08-19,Subscription,12702.7,EUR
ITX000255,INV0099,F005,2025-08-01,Redemption,-49121.88,EUR
ITX000256,INV0062,F006,2026-07-28,Subscription,24705.65,EUR
ITX000257,INV0036,F005,2025-05-05,Redemption,-39872.57,EUR
ITX000258,INV0051,F006,2025-05-30,Subscription,27387.95,EUR
ITX000259,INV0092,F002,2025-12-21,Subscription,14737.7,EUR
ITX000260,INV0096,F008,2025-08-08,Redemption,-32970.62,EUR
ITX000261,INV0072,F005,2025-05-21,Subscription,27159.61,EUR
ITX000262,INV0031,F004,2025-02-21,Subscription,37174.1,EUR
ITX000263,INV0082,F004,2025-02-23,Subscription,26786.55,EUR
ITX000264,INV0061,F002,2025-05-21,Subscription,16849.53,EUR
ITX000265,INV0021,F007,2026-05-03,Subscription,27742.45,EUR
ITX000266,INV0037,F006,2025-10-20,Subscription,10373.07,EUR
ITX000267,INV0012,F004,2026-07-02,Subscription,45442.88,EUR
ITX000268,INV0005,F003,2026-03-04,Subscription,42591.49,EUR
ITX000269,INV0005,F007,2026-05-23,Redemption,-9201.54,EUR
ITX000270,INV0038,F001,2025-01-10,Subscription,37575.66,EUR
ITX000271,INV0043,F005,2026-04-11,Subscription,30337.76,EUR
ITX000272,INV0064,F003,2026-06-01,Redemption,-27393.37,EUR
ITX000273,INV0015,F006,2025-06-16,Subscription,10044.16,EUR
ITX000274,INV0092,F003,2025-01-15,Subscription,32590.12,EUR
ITX000275,INV0073,F004,2025-06-29,Subscription,39643.0,EUR
ITX000276,INV0052,F007,2026-06-12,Subscription,32116.93,EUR
ITX000277,INV0013,F003,2025-05-24,Subscription,20341.25,EUR
ITX000278,INV0001,F005,2026-01-28,Subscription,46823.36,EUR
ITX000279,INV0043,F005,2026-08-20,Subscription,37810.95,EUR
ITX000280,INV0084,F006,2025-08-30,Subscription,1066.07,EUR
ITX000281,INV0040,F003,2026-02-20,Subscription,6352.13,EUR
ITX000282,INV0091,F005,2025-05-01,Subscription,46193.75,EUR
ITX000283,INV0048,F004,2025-08-13,Subscription,47061.46,EUR
ITX000284,INV0059,F006,2026-03-02,Redemption,-24170.0,EUR
ITX000285,INV0097,F004,2025-09-11,Subscription,45683.45,EUR
ITX000286,INV0011,F008,2026-06-25,Subscription,29992.82,EUR
ITX000287,INV0073,F002,2025-03-05,Subscription,4366.08,EUR
ITX000288,INV0026,F003,2025-06-18,Redemption,-45192.96,EUR
ITX000289,INV0015,F004,2026-05-16,Subscription,26256.91,EUR
ITX000290,INV0008,F008,2025-05-16,Subscription,25763.58,EUR
ITX000291,INV0008,F008,2025-11-12,Subscription,23111.52,EUR
ITX000292,INV0001,F004,2026-08-16,Subscription,20099.46,EUR
ITX000293,INV0090,F002,2026-07-09,Subscription,21473.02,EUR
ITX000294,INV0009,F008,2025-02-02,Redemption,-46761.85,EUR
ITX000295,INV0018,F007,2026-01-19,Subscription,9409.08,EUR
ITX000296,INV0049,F007,2025-03-24,Redemption,-19432.74,EUR
ITX000297,INV0070,F003,2025-12-23,Subscription,33258.73,EUR
ITX000298,INV0051,F003,2025-08-17,Subscription,49645.92,EUR
ITX000299,INV0039,F008,2026-07-12,Redemption,-37930.88,EUR
ITX000300,INV0030,F004,2026-04-17,Subscription,19274.19,EUR
ITX000301,INV0093,F002,2025-02-02,Subscription,14144.66,EUR
ITX000302,INV0099,F001,2025-09-04,Subscription,21252.41,EUR
ITX000303,INV0005,F008,2025-02-19,Subscription,5494.39,EUR
ITX000304,INV0057,F004,2026-07-07,Subscription,2689.72,EUR
ITX000305,INV0008,F003,2026-05-31,Subscription,43254.65,EUR
ITX000306,INV0094,F006,2026-08-15,Redemption,-12091.0,EUR
ITX000307,INV0042,F004,2025-11-06,Subscription,33790.33,EUR
ITX000308,INV0067,F004,2026-02-28,Redemption,-49291.93,EUR
ITX000309,INV0076,F003,2026-03-14,Subscription,3517.4,EUR
ITX000310,INV0045,F007,2026-06-22,Subscription,2820.76,EUR
ITX000311,INV0020,F005,2026-01-21,Subscription,21108.07,EUR
ITX000312,INV0031,F004,2025-11-04,Subscription,27127.45,EUR
ITX000313,INV0060,F001,2026-07-30,Redemption,-7645.41,EUR
ITX000314,INV0068,F003,2026-02-02,Subscription,21117.14,EUR
ITX000315,INV0083,F002,2026-04-06,Subscription,10565.17,EUR
ITX000316,INV0093,F004,2025-02-22,Redemption,-5076.97,EUR
ITX000317,INV0078,F001,2025-03-16,Subscription,33846.76,EUR
ITX000318,INV0093,F004,2026-05-06,Subscription,38203.97,EUR
ITX000319,INV0039,F001,2025-08-05,Subscription,45398.12,EUR
ITX000320,INV0016,F008,2025-09-06,Redemption,-48122.84,EUR
ITX000321,INV0051,F004,2026-07-20,Subscription,35336.54,EUR
ITX000322,INV0060,F006,2025-11-12,Subscription,14511.43,EUR
ITX000323,INV0064,F008,2025-04-11,Subscription,25884.42,EUR
ITX000324,INV0098,F006,2025-07-28,Subscription,36259.47,EUR
ITX000325,INV0073,F004,2025-05-30,Subscription,20989.54,EUR
ITX000326,INV0075,F007,2025-10-30,Subscription,27888.92,EUR
ITX000327,INV0049,F004,2026-05-27,Subscription,16828.33,EUR
ITX000328,INV0044,F005,2026-05-16,Subscription,47201.49,EUR
ITX000329,INV0063,F008,2025-06-22,Redemption,-32263.88,EUR
ITX000330,INV0018,F008,2025-07-08,Subscription,17932.72,EUR
ITX000331,INV0083,F001,2026-06-21,Redemption,-27335.77,EUR
ITX000332,INV0086,F001,2025-01-07,Subscription,42411.52,EUR
ITX000333,INV0030,F002,2025-06-04,Subscription,42205.96,EUR
ITX000334,INV0048,F001,2026-05-10,Subscription,25533.78,EUR
ITX000335,INV0069,F007,2025-01-13,Subscription,1278.72,EUR
ITX000336,INV0069,F005,2025-01-18,Subscription,36248.54,EUR
ITX000337,INV0056,F003,2025-04-20,Subscription,35044.02,EUR
ITX000338,INV0031,F004,2026-06-24,Redemption,-26457.08,EUR
ITX000339,INV0051,F002,2026-01-18,Subscription,18044.83,EUR
ITX000340,INV0032,F004,2025-11-04,Redemption,-23220.39,EUR
ITX000341,INV0084,F001,2025-04-06,Subscription,42469.42,EUR
ITX000342,INV0061,F001,2025-01-10,Subscription,19169.89,EUR
ITX000343,INV0056,F006,2026-08-03,Subscription,4592.96,EUR
ITX000344,INV0068,F001,2025-08-24,Redemption,-48705.07,EUR
ITX000345,INV0073,F008,2025-10-05,Subscription,43471.79,EUR
ITX000346,INV0036,F001,2025-07-03,Subscription,4180.23,EUR
ITX000347,INV0027,F003,2026-02-12,Redemption,-16066.99,EUR
ITX000348,INV0073,F004,2026-08-04,Redemption,-15314.21,EUR
ITX000349,INV0070,F006,2026-01-29,Redemption,-19763.25,EUR
ITX000350,INV0089,F002,2026-05-28,Subscription,7427.55,EUR
ITX000351,INV0013,F007,2025-08-26,Subscription,17620.05,EUR
ITX000352,INV0099,F007,2025-12-01,Redemption,-17359.34,EUR
ITX000353,INV0058,F008,2025-08-22,Subscription,14029.69,EUR
ITX000354,INV0056,F003,2026-01-25,Subscription,47086.57,EUR
ITX000355,INV0032,F002,2025-03-26,Subscription,31121.49,EUR
ITX000356,INV0082,F003,2026-02-03,Subscription,19310.0,EUR
ITX000357,INV0001,F005,2026-04-01,Subscription,5774.27,EUR
ITX000358,INV0017,F002,2025-07-11,Subscription,13853.44,EUR
ITX000359,INV0066,F007,2025-04-16,Subscription,28070.76,EUR
ITX000360,INV0012,F006,2026-01-30,Subscription,18018.76,EUR
ITX000361,INV0100,F002,2026-07-27,Subscription,20983.6,EUR
ITX000362,INV0074,F003,2026-01-25,Redemption,-48919.57,EUR
ITX000363,INV0035,F008,2025-05-30,Subscription,13811.49,EUR
ITX000364,INV0054,F005,2026-05-11,Subscription,22016.48,EUR
ITX000365,INV0032,F008,2025-07-20,Subscription,18375.68,EUR
ITX000366,INV0001,F007,2025-12-07,Subscription,7206.73,EUR
ITX000367,INV0043,F008,2025-12-09,Redemption,-19304.55,EUR
ITX000368,INV0084,F003,2025-11-04,Subscription,41264.99,EUR
ITX000369,INV0026,F008,2025-11-18,Subscription,47390.31,EUR
ITX000370,INV0041,F005,2026-05-18,Subscription,20212.86,EUR
ITX000371,INV0042,F007,2025-10-15,Redemption,-39207.73,EUR
ITX000372,INV0015,F004,2026-07-13,Subscription,19950.29,EUR
ITX000373,INV0004,F008,2025-08-03,Subscription,38497.09,EUR
ITX000374,INV0089,F002,2026-02-23,Subscription,14920.89,EUR
ITX000375,INV0039,F004,2025-09-16,Subscription,7389.37,EUR
ITX000376,INV0049,F002,2026-04-05,Subscription,35904.2,EUR
ITX000377,INV0052,F007,2026-07-11,Redemption,-24222.12,EUR
ITX000378,INV0090,F002,2025-04-22,Subscription,48437.19,EUR
ITX000379,INV0046,F003,2025-02-15,Subscription,33051.28,EUR
ITX000380,INV0083,F007,2025-12-06,Subscription,32429.04,EUR
ITX000381,INV0002,F002,2025-09-22,Redemption,-21807.55,EUR
ITX000382,INV0072,F004,2026-04-02,Subscription,37469.22,EUR
ITX000383,INV0087,F003,2025-12-20,Subscription,23421.63,EUR
ITX000384,INV0038,F007,2025-03-29,Redemption,-24397.17,EUR
ITX000385,INV0019,F006,2025-11-16,Subscription,47063.47,EUR
ITX000386,INV0067,F008,2025-12-23,Subscription,39321.36,EUR
ITX000387,INV0090,F008,2025-11-23,Subscription,22189.21,EUR
ITX000388,INV0091,F002,2025-01-24,Subscription,2711.81,EUR
ITX000389,INV0087,F003,2025-09-07,Redemption,-32574.51,EUR
ITX000390,INV0043,F007,2026-04-19,Subscription,27819.56,EUR
ITX000391,INV0024,F003,2026-03-19,Subscription,20549.85,EUR
ITX000392,INV0026,F008,2026-03-16,Subscription,37000.72,EUR
ITX000393,INV0027,F005,2025-03-06,Subscription,35384.41,EUR
ITX000394,INV0069,F003,2026-01-10,Subscription,40075.37,EUR
ITX000395,INV0034,F008,2026-06-25,Subscription,23148.75,EUR
ITX000396,INV0050,F007,2025-04-27,Redemption,-16013.5,EUR
