fundid,navdate,navperunit,aum,monthlyreturn,benchmarkreturn,excess_return
F003,2025-01-31,104.4841,108910314.92,0.000755,0.016344,-0.015589
F003,2025-02-28,106.6468,109666020.07,0.020699,0.016519,0.00418
F003,2025-03-31,108.3644,109988254.88,0.016105,0.013856,0.002249000000000001
F003,2025-04-30,109.1809,111542334.48,0.007535,0.005983,0.0015520000000000004
F003,2025-05-31,105.763,107036703.51,-0.031305,-0.002485,-0.02882
F003,2025-06-30,105.331,109954119.92,-0.004085,-0.018332,0.014247000000000001
F003,2025-07-31,104.7714,109269859.63,-0.005313,0.004763,-0.010076
F003,2025-08-31,103.4357,106551778.53,-0.012749,-0.005958,-0.006791
F003,2025-09-30,105.7238,109693469.07,0.022121,0.016075,0.006045999999999999
F003,2025-10-31,111.9038,119178390.43,0.058455,0.07113,-0.012674999999999999
F003,2025-11-30,116.9507,127815418.3,0.0451,0.031884,0.013215999999999999
F003,2025-12-31,116.6391,130635158.01,-0.002664,0.019674,-0.022338
F003,2026-01-31,118.773,135149151.37,0.018295,0.011576,0.006718999999999999
F003,2026-02-28,114.5385,132305387.75,-0.035652,-0.044098,0.008445999999999995
F003,2026-03-31,115.5995,134847068.57,0.009263,0.005226,0.004037000000000001
F003,2026-04-30,121.3787,141165991.24,0.049994,0.041365,0.008628999999999998
F003,2026-05-31,120.7774,139152375.65,-0.004955,-0.013467,0.008511999999999999
F003,2026-06-30,119.27,136790824.9,-0.01248,-0.01951,0.00703
F003,2026-07-31,126.7599,147163987.77,0.062797,0.059165,0.0036320000000000033
F003,2026-08-31,133.1967,156686418.61,0.05078,0.055467,-0.004687000000000004
F004,2025-01-31,113.9371,66936727.73,0.021252,0.001958,0.019294
F004,2025-02-28,118.38,72098646.45,0.038994,0.020509,0.018485
F004,2025-03-31,120.1455,74489961.03,0.014914,0.013508,0.001406000000000001
F004,2025-04-30,121.9967,77652461.21,0.015408,0.025921,-0.010513
F004,2025-05-31,121.931,79823217.86,-0.000539,0.016332,-0.016871
F004,2025-06-30,123.1602,80964443.91,0.010082,0.003553,0.006529
F004,2025-07-31,124.0702,81928976.37,0.007388,0.019478,-0.01209
F004,2025-08-31,127.6867,85520975.26,0.029149,0.038823,-0.009674000000000002
F004,2025-09-30,128.6607,86708324.12,0.007628,-0.009346,0.016974
F004,2025-10-31,126.1889,88460113.64,-0.019211,-0.01512,-0.004090999999999999
F004,2025-11-30,126.4781,90526114.18,0.002292,0.007534,-0.005242
F004,2025-12-31,129.614,93309711.48,0.024794,0.034823,-0.010029
F004,2026-01-31,131.7647,94624057.39,0.016594,0.01632,0.00027399999999999994
F004,2026-02-28,140.3504,102517026.97,0.065159,0.04289,0.022268999999999997
F004,2026-03-31,137.8808,102614769.68,-0.017597,-0.023644,0.006046999999999997
F004,2026-04-30,140.3786,107565253.29,0.018116,0.023647,-0.005531000000000001
F004,2026-05-31,143.2824,109998534.42,0.020685,0.019914,0.0007709999999999974
F004,2026-06-30,138.2741,108909125.92,-0.034954,-0.021769,-0.013184999999999999
F004,2026-07-31,128.7661,103881678.73,-0.068762,-0.05552,-0.013242000000000004
F004,2026-08-31,129.8098,107340936.05,0.008106,0.017359,-0.009252999999999999
F005,2025-01-31,113.4427,146521352.61,-0.025588,-0.023122,-0.0024659999999999994
F005,2025-02-28,115.9079,152916818.93,0.021731,0.005063,0.016668000000000002
F005,2025-03-31,114.3862,153347867.41,-0.013129,0.003549,-0.016678
F005,2025-04-30,112.795,153896981.38,-0.013911,-0.016134,0.0022229999999999993
F005,2025-05-31,111.2767,152940947.97,-0.013461,-0.035119,0.021657999999999997
F005,2025-06-30,112.0858,154308744.18,0.007272,0.013422,-0.00615
F005,2025-07-31,110.2363,150794702.13,-0.016501,-0.028943,0.012442000000000002
F005,2025-08-31,108.015,150427818.38,-0.020151,-0.011459,-0.008691999999999998
F005,2025-09-30,109.6928,151267458.47,0.015533,0.018776,-0.003243000000000001
F005,2025-10-31,109.8928,150582251.42,0.001823,0.014014,-0.012191
F005,2025-11-30,111.7745,156411175.15,0.017123,0.011963,0.00516
F005,2025-12-31,114.1266,162328726.29,0.021043,0.007309,0.013734
F005,2026-01-31,113.5801,164123914.37,-0.004788,-0.004879,9.099999999999994e-05
F005,2026-02-28,115.1883,165553202.23,0.014159,0.012216,0.0019430000000000003
F005,2026-03-31,120.2091,171625901.17,0.043587,0.022998,0.020589
F005,2026-04-30,124.4935,178352499.86,0.035642,0.004675,0.030967
F005,2026-05-31,124.6346,180543694.34,0.001133,-0.009879,0.011012000000000001
F005,2026-06-30,126.02,182092788.45,0.011116,-0.001684,0.012799999999999999
F005,2026-07-31,124.0532,180143081.86,-0.015607,-0.024061,0.008454
F005,2026-08-31,124.0149,181044085.16,-0.000309,0.000509,-0.0008179999999999999
F006,2025-01-31,95.4204,81663494.88,0.049204,0.044092,0.0051119999999999985
F006,2025-02-28,94.8753,80186993.21,-0.005713,-0.017176,0.011463000000000001
F006,2025-03-31,92.8769,78753274.25,-0.021063,-0.007092,-0.013970999999999997
F006,2025-04-30,95.9941,80033097.48,0.033563,0.034556,-0.0009930000000000008
F006,2025-05-31,99.7276,86175201.15,0.038893,0.034055,0.004837999999999995
F006,2025-06-30,97.6268,83274710.56,-0.021065,-0.024929,0.0038639999999999994
F006,2025-07-31,95.9026,84915541.0,-0.017661,-0.000379,-0.017282
F006,2025-08-31,93.3331,82347330.87,-0.026793,-0.033897,0.007103999999999996
F006,2025-09-30,94.6172,83529291.35,0.013757,0.012576,0.0011809999999999998
F006,2025-10-31,93.9183,82495146.09,-0.007386,0.014339,-0.021725
F006,2025-11-30,94.4232,82080523.17,0.005376,0.002956,0.00242
F006,2025-12-31,96.3073,86896061.44,0.019954,0.034335,-0.014380999999999998
F006,2026-01-31,94.8248,86374293.69,-0.015394,-0.021742,0.006348000000000001
F006,2026-02-28,93.7033,88477678.6,-0.011827,-0.002082,-0.009745
F006,2026-03-31,93.6927,89895949.0,-0.000113,0.001506,-0.001619
F006,2026-04-30,92.2869,91558395.13,-0.015005,-0.003289,-0.011715999999999999
F006,2026-05-31,93.2444,92459843.3,0.010376,0.001988,0.008388
F006,2026-06-30,93.864,92348194.78,0.006645,0.000101,0.0065439999999999995
F006,2026-07-31,94.7437,94144914.14,0.009372,0.014694,-0.005322
F006,2026-08-31,99.6176,101521992.17,0.051443,0.049201,0.002242000000000001
F007,2025-01-31,120.0743,128277325.14,0.024854,0.02128,0.003574000000000001
F007,2025-02-28,116.063,123635653.9,-0.033407,-0.013736,-0.019671
F007,2025-03-31,113.4329,123892223.53,-0.022661,-0.030512,0.007851
F007,2025-04-30,115.9748,128870324.43,0.022409,0.016996,0.005412999999999998
F007,2025-05-31,119.7781,133786939.29,0.032794,0.036369,-0.003575000000000002
F007,2025-06-30,119.2266,131773635.55,-0.004604,-0.019921,0.015317
F007,2025-07-31,115.2454,129047661.99,-0.033392,-0.031983,-0.0014090000000000005
F007,2025-08-31,119.6428,133866240.6,0.038157,0.028235,0.009922000000000004
F007,2025-09-30,117.0781,129822490.24,-0.021437,-0.01851,-0.0029270000000000025
F007,2025-10-31,120.797,134234371.96,0.031764,0.001115,0.030649
F007,2025-11-30,118.0782,134246221.12,-0.022507,-0.03965,0.017143
F007,2025-12-31,119.5203,135195789.18,0.012213,0.015009,-0.002796
F007,2026-01-31,115.5174,131398387.8,-0.033492,-0.027396,-0.006096000000000001
F007,2026-02-28,119.1457,135340599.64,0.03141,0.030163,0.0012470000000000016
F007,2026-03-31,125.8743,142411335.44,0.056474,0.046332,0.010142000000000005
F007,2026-04-30,124.3749,140376117.91,-0.011912,-0.021381,0.009469
F007,2026-05-31,126.9448,145284024.48,0.020663,0.014034,0.006629000000000001
F007,2026-06-30,129.0481,150131670.84,0.016569,0.014772,0.001797
F007,2026-07-31,135.1358,158641733.84,0.047173,0.034112,0.013060999999999996
F007,2026-08-31,143.2866,167395697.78,0.060316,0.057441,0.0028750000000000026
F008,2025-01-31,118.2398,136245553.93,0.005253,0.011114,-0.005861000000000001
F008,2025-02-28,117.8748,136264334.89,-0.003086,-0.005317,0.0022309999999999995
F008,2025-03-31,114.9848,135442748.88,-0.024518,-0.014879,-0.009639000000000002
F008,2025-04-30,117.3282,139252410.36,0.02038,0.013912,0.006467999999999998
F008,2025-05-31,118.5115,141723769.38,0.010086,0.012034,-0.001948
F008,2025-06-30,123.0714,146912149.72,0.038477,0.038207,0.0002699999999999994
F008,2025-07-31,121.2951,145100353.57,-0.014433,0.007026,-0.021459
F008,2025-08-31,123.6921,146766180.84,0.019762,0.00901,0.010751999999999998
F008,2025-09-30,120.176,144997284.94,-0.028427,-0.040002,0.011575000000000002
F008,2025-10-31,125.8658,155016264.25,0.047346,0.042749,0.004596999999999997
F008,2025-11-30,124.7925,156528969.83,-0.008528,-0.020412,0.011883999999999999
F008,2025-12-31,124.9326,158279274.11,0.001123,0.005886,-0.004763
F008,2026-01-31,124.4752,159429991.14,-0.003661,0.019178,-0.022839
F008,2026-02-28,124.5976,161081558.33,0.000983,0.006499,-0.005516
F008,2026-03-31,126.779,164565449.6,0.017508,-0.004085,0.021593
F008,2026-04-30,128.9909,166360767.3,0.017447,0.015088,0.002359
F008,2026-05-31,130.8174,170423512.87,0.01416,0.016897,-0.002736999999999998
F008,2026-06-30,130.7149,171112486.3,-0.000784,-0.011053,0.010269
F008,2026-07-31,130.9636,171455589.43,0.001903,0.025495,-0.023592000000000002
F008,2026-08-31,128.7953,168657542.38,-0.016557,-0.015708,-0.0008489999999999991
